date,ct.-conventional mg-monthly ending stock,ct.-distillate-monthly ending stock,ct.-rfmg-monthly ending stock,ma.-conventional mg-monthly ending stock,ma.-distillate-monthly ending stock,ma.-rfmg-monthly ending stock,me.-conventional mg-monthly ending stock,me.-distillate-monthly ending stock,me.-rfmg-monthly ending stock,nh.-conventional mg-monthly ending stock,nh.-distillate-monthly ending stock,nh.-rfmg-monthly ending stock,ri.-conventional mg-monthly ending stock,ri.-distillate-monthly ending stock,ri.-rfmg-monthly ending stock,vt.-conventional mg-monthly ending stock,vt.-distillate-monthly ending stock
2022-11-01,,1297,,,1196,4,,821,,,766,,,613,,,7
2022-12-01,,1134,,,692,4,,821,,,681,,,709,,,6
2023-01-01,,1670,,,1100,4,,1218,,,620,,,787,,,9
2023-02-01,,1502,,,1231,4,,881,,,505,,,816,,,8
2023-03-01,,1197,,,788,3,,861,,,384,,,542,,,7
2023-04-01,,1257,,,905,4,,796,,,259,,,613,,,8
2023-05-01,,1047,,,934,4,,671,,,243,,,642,,,10
2023-06-01,,1095,,,880,3,,664,,,255,,,445,,,9
2023-07-01,,993,,,796,2,,828,,,184,,,504,,,9
2023-08-01,,916,,,798,4,,827,,,137,,,572,,,6
2023-09-01,,974,,,760,3,,761,,,221,,,532,,,6
2023-10-01,,912,,,880,4,,840,,,169,,,466,,,11
2023-11-01,,905,,,539,4,,823,,,306,,,632,,,8
2023-12-01,,1326,,,1157,4,,1395,,,588,,,890,,,10
2024-01-01,,1494,,,819,4,,1040,,,528,,,761,,,40
2024-02-01,,1363,,,834,3,,886,,,461,,,767,,,30
2024-03-01,,1494,,,907,3,,1124,,,268,,,563,,,16
2024-04-01,,1078,,,892,3,,957,,,233,,,401,,,18
2024-05-01,,1096,,,1047,4,,993,,,277,,,495,,,10
2024-06-01,,1269,,,1137,4,,787,,,188,,,773,,,10
