date,padd1a diesel retail spread (nominal),padd1a-no. 2 diesel low sulfur retail price (nominal),usgc-no. 2 diesel low sulfur spot price (nominal),padd1a-distillate-weekly ending stock,houston-linden-buckeye tariff rate (nominal),price deflator
2001-08-01,,,,5897.4,,0.5880676923892445
2001-09-01,,,,5897.4,,0.5907181383267734
2001-10-01,,,,5897.4,,0.5887303038736267
2001-11-01,,,,5897.4,,0.5877363866470534
2001-12-01,,,,5897.4,,0.5854172464517154
2002-01-01,,,,5897.4,,0.5867424694204799
2002-02-01,,,,9564.0,,0.5890616096158179
2002-03-01,,,,8219.0,,0.5923746670377291
2002-04-01,,,,8219.0,,0.5956877244596404
2002-05-01,,,,8219.0,,0.5956877244596404
2002-06-01,,,,8219.0,,0.5960190302018314
2002-07-01,,,,8219.0,,0.5966816416862136
2002-08-01,,,,8219.0,,0.5986694761393604
2002-09-01,,,,8219.0,,0.5996633933659338
2002-10-01,,,,8219.0,,0.6006573105925072
2002-11-01,,,,8244.8,,0.6006573105925072
2002-12-01,,,,8244.8,,0.5993320876237427
2003-01-01,,,,8244.8,,0.6019825335612716
2003-02-01,,,,8244.8,,0.6066208139519473
2003-03-01,,,,8244.8,,0.6102651771160497
2003-04-01,,,,8244.8,,0.6089399541472853
2003-05-01,,,,8244.8,,0.6079460369207119
2003-06-01,,,,8244.8,,0.6086086484050941
2003-07-01,,,,8244.8,,0.6092712598894764
2003-08-01,,,,7943.8,,0.6115904000848142
2003-09-01,,,,7943.8,,0.6135782345379609
2003-10-01,,,,7943.8,,0.6129156230535787
2003-11-01,,,,7943.8,,0.6112590943426232
2003-12-01,,,,7943.8,,0.6105964828582409
2004-01-01,,,,7943.8,,0.6135782345379609
2004-02-01,,,,7943.8,,0.6168912919598721
2004-03-01,,,,7943.8,,0.6208669608661658
2004-04-01,,,,7943.8,,0.6228547953193124
2004-05-01,,,,7943.8,,0.6264991584834148
2004-06-01,,,,7943.8,,0.6284869929365615
2004-07-01,,,,7943.8,,0.6274930757099882
2004-08-01,,,,7943.8,,0.6278243814521793
2004-09-01,,,,7943.8,,0.6291496044209438
2004-10-01,,,,11890.0,,0.632462661842855
2004-11-01,,,,11890.0,,0.6327939675850461
2004-12-01,,,,11890.0,,0.6304748273897083
2005-01-01,,,,11890.0,,0.6318000503584728
2005-02-01,,,,11890.0,,0.6354444135225752
2005-03-01,,,,11890.0,,0.640413999655442
2005-04-01,,,,6072.2,,0.6447209743039266
2005-05-01,,,,6072.2,,0.6440583628195444
2005-06-01,,,,6072.2,,0.6443896685617355
2005-07-01,,,,11315.8,,0.6473714202414557
2005-08-01,,,,11315.8,,0.6506844776633669
2005-09-01,,,,11315.8,,0.6586358154759538
2005-10-01,,,,11315.8,,0.6599610384447182
2005-11-01,,,,11315.8,,0.6546601465696603
2005-12-01,,,,11315.8,,0.6520097006321314
2006-01-01,,,,11315.8,,0.6569792867649982
2006-02-01,,,,11315.8,,0.6583045097337626
2006-03-01,,,,11315.8,,0.6619488728978651
2006-04-01,,,,11315.8,,0.6675810705151142
2006-05-01,,,,11315.8,,0.6708941279370254
2006-06-01,,,2.1080769230769234,11315.8,,0.6722193509057899
2006-07-01,,,2.1080769230769234,11315.8,,0.6742071853589366
2006-08-01,,,2.2333043478260874,11315.8,,0.6755324083277011
2006-09-01,,,1.7889500000000003,13191.8,,0.6722193509057899
2006-10-01,,,1.7889500000000003,13191.8,,0.6685749877416876
2006-11-01,,,1.7967619047619043,13191.8,,0.6675810705151142
2006-12-01,,,1.7906999999999997,12732.4,,0.6685749877416876
2007-01-01,,,1.7906999999999997,12732.4,,0.6706158311135848
2007-02-01,,,1.7767894736842105,12732.4,,0.6742038723015147
2007-03-01,,,1.9705454545454548,12732.4,,0.6803429677043162
2007-04-01,,,1.9705454545454548,12732.4,,0.6847625863051459
2007-05-01,,,2.045045454545455,12732.4,,0.6889469778290197
2007-06-01,,,2.0926190476190474,6993.0,,0.69028213997005
2007-07-01,,,2.0926190476190474,6993.0,,0.6901065479266887
2007-08-01,,,2.1166956521739126,6993.0,,0.6888409599915185
2007-09-01,,,2.1166956521739126,6993.0,,0.6907393418942737
2007-10-01,0.7695391304347825,3.1588000000000003,2.361173913043479,6993.0,,0.6922169655044461
2007-11-01,0.7695391304347825,3.1588000000000003,2.657142857142857,6993.0,,0.6963284697650379
2007-12-01,0.7695391304347825,3.1588000000000003,2.657142857142857,6993.0,,0.6958613286685484
2008-01-01,0.7695391304347825,3.1588000000000003,2.657142857142857,6993.0,,0.6993201606170238
2008-02-01,0.7695391304347825,3.1588000000000003,2.74935,8655.6,,0.7013510648166554
2008-03-01,0.7695391304347825,3.1588000000000003,2.74935,8655.6,,0.7074305251858625
2008-04-01,0.7695391304347825,3.1588000000000003,3.346681818181817,8655.6,,0.7117209345472376
2008-05-01,0.7695391304347825,3.1588000000000003,3.732904761904763,8655.6,,0.717714255423475
2008-06-01,0.7695391304347825,3.1588000000000003,3.732904761904763,8655.6,,0.7249466597755072
2008-07-01,0.7695391304347825,3.1588000000000003,3.816045454545454,8655.6,,0.7287533627532832
2008-08-01,0.7695391304347825,3.1588000000000003,3.2416666666666667,5797.8,,0.7258444983368452
2008-09-01,0.7695391304347825,4.2208,3.2416666666666667,5797.8,,0.724840641938006
2008-10-01,0.7695391304347825,4.2208,2.3120434782608696,5797.8,,0.7175187850355822
2008-11-01,0.7695391304347825,4.2208,2.3120434782608696,5797.8,,0.7037762228494945
2008-12-01,1.3702045454545455,2.774,1.3718636363636363,5797.8,,0.6964974356935555
2009-01-01,1.3702045454545455,2.774,1.3718636363636363,5797.8,,0.6995288832346042
2009-02-01,1.3702045454545455,2.774,1.3718636363636363,5797.8,,0.703007593527611
2009-03-01,1.3702045454545455,2.774,1.3718636363636363,5797.8,,0.7047171311573172
2009-04-01,1.3702045454545455,2.774,1.3965238095238095,5797.8,,0.7064763646483521
2009-05-01,1.3702045454545455,2.774,1.48905,10182.6,,0.7085172080202493
2009-06-01,0.7872681818181819,2.5982,1.8020454545454543,10182.6,,0.7146032945043004
2009-07-01,0.7872681818181819,2.5982,1.6951818181818183,10182.6,,0.7134702288660066
2009-08-01,0.7872681818181819,2.5982,1.6951818181818183,10182.6,,0.7150704356007899
2009-09-01,0.7872681818181819,2.5982,1.7732380952380955,10182.6,,0.7155176983527478
2009-10-01,0.7872681818181819,2.5982,1.940590909090909,10182.6,,0.7162068142965053
2009-11-01,0.7872681818181819,2.5982,1.940590909090909,10182.6,,0.7167137120820578
2009-12-01,0.7872681818181819,2.5982,1.9591363636363637,10182.6,,0.7154514372043096
2010-01-01,0.7872681818181819,2.5982,1.9591363636363637,12356.0,,0.7178964735816801
2010-02-01,0.9916447368421055,3.0082500000000003,1.9983684210526316,12356.0,,0.7180753786824633
2010-03-01,0.8802695652173909,3.0223999999999998,2.124739130434783,12356.0,,0.7210239997879643
2010-04-01,0.8802695652173909,3.0223999999999998,2.2673809523809525,12356.0,,0.7222763354934467
2010-05-01,0.8802695652173909,3.0223999999999998,2.2673809523809525,12356.0,,0.7228362421977498
2010-06-01,0.8802695652173909,3.0223999999999998,2.0664545454545458,12356.0,,0.7221305609668827
2010-07-01,0.8802695652173909,3.0223999999999998,2.0420476190476187,12356.0,,0.7222829616082905
2010-08-01,0.8802695652173909,3.0223999999999998,2.0420476190476187,12356.0,,0.7232801918922859
2010-09-01,0.8802695652173909,3.0223999999999998,2.1300000000000003,12356.0,,0.7237009501848686
2010-10-01,0.8802695652173909,3.0223999999999998,2.2517619047619046,13730.4,,0.7246021018036285
2010-11-01,0.8511809523809517,3.2037999999999998,2.326333333333334,13730.4,,0.7249069030864442
2010-12-01,0.8511809523809517,3.2037999999999998,2.4459999999999997,13730.4,,0.7261526126770829
2011-01-01,0.8511809523809517,3.2037999999999998,2.4459999999999997,13730.4,,0.7296114446255583
2011-02-01,0.8511809523809517,3.2037999999999998,2.7930526315789472,13730.4,,0.7332094249857538
2011-03-01,0.8511809523809517,3.2037999999999998,3.0807826086956522,13730.4,,0.7403590029022383
2011-04-01,0.8511809523809517,3.2037999999999998,3.23145,8113.8,,0.7451264925323685
2011-05-01,0.8511809523809517,3.2037999999999998,3.23145,8113.8,,0.7486317072847506
2011-06-01,0.8511809523809517,3.2037999999999998,3.014863636363636,8113.8,,0.7478299473886482
