date,padd1a-distillate-weekly ending stock
2020-08-14,12321
2020-08-21,12319
2020-08-28,12306
2020-09-04,12720
2020-09-11,12737
2020-09-18,12513
2020-09-25,12661
2020-10-02,12242
2020-10-09,11650
2020-10-16,11859
2020-10-23,12755
2020-10-30,12920
2020-11-06,12948
2020-11-13,12579
2020-11-20,12312
2020-11-27,11794
2020-12-04,12894
2020-12-11,11974
2020-12-18,12090
2020-12-25,11853
2021-01-01,12095
2021-01-08,12139
2021-01-15,11923
2021-01-22,11302
2021-01-29,11509
2021-02-05,11132
2021-02-12,10841
2021-02-19,10537
2021-02-26,9684
2021-03-05,9023
2021-03-12,9810
2021-03-19,9082
2021-03-26,9340
2021-04-02,9231
2021-04-09,9463
2021-04-16,8875
2021-04-23,8573
2021-04-30,8237
2021-05-07,8071
2021-05-14,8077
2021-05-21,7521
2021-05-28,6948
2021-06-04,6669
2021-06-11,6912
2021-06-18,7653
2021-06-25,7560
2021-07-02,7031
2021-07-09,6906
2021-07-16,6694
2021-07-23,6743
2021-07-30,6412
2021-08-06,6213
2021-08-13,6843
2021-08-20,7528
2021-08-27,7092
2021-09-03,7462
2021-09-10,7835
2021-09-17,7508
2021-09-24,7067
2021-10-01,6871
2021-10-08,6617
2021-10-15,6717
2021-10-22,7142
2021-10-29,7778
2021-11-05,7471
2021-11-12,7750
2021-11-19,7646
2021-11-26,7239
2021-12-03,7656
2021-12-10,7129
2021-12-17,6842
2021-12-24,6797
2021-12-31,6719
2022-01-07,6730
2022-01-14,6117
2022-01-21,5478
2022-01-28,5209
2022-02-04,4992
2022-02-11,5537
2022-02-18,5887
2022-02-25,6016
2022-03-04,5504
2022-03-11,5726
2022-03-18,5614
2022-03-25,5651
2022-04-01,4942
2022-04-08,4525
2022-04-15,4264
2022-04-22,3858
2022-04-29,3386
2022-05-06,3251
2022-05-13,3291
2022-05-20,2917
2022-05-27,3056
2022-06-03,3000
2022-06-10,3195
2022-06-17,3246
2022-06-24,3246
2022-07-01,2808
2022-07-08,3322
2022-07-15,3257
2022-07-22,3443
2022-07-29,3312
2022-08-05,3056
2022-08-12,3012
2022-08-19,3121
2022-08-26,3246
2022-09-02,3220
2022-09-09,3402
2022-09-16,3741
2022-09-23,3458
2022-09-30,3564
2022-10-07,3426
2022-10-14,3485
2022-10-21,3263
2022-10-28,3571
2022-11-04,3523
2022-11-11,3686
2022-11-18,3802
2022-11-25,4141
2022-12-02,4131
2022-12-09,4462
2022-12-16,4277
2022-12-23,4018
2022-12-30,3346
2023-01-06,4196
2023-01-13,4289
2023-01-20,4439
2023-01-27,4784
2023-02-03,5170
2023-02-10,4601
2023-02-17,4613
2023-02-24,4465
2023-03-03,4344
2023-03-10,4605
2023-03-17,4315
2023-03-24,4350
2023-03-31,4238
2023-04-07,3927
2023-04-14,3878
2023-04-21,4048
2023-04-28,3783
2023-05-05,3570
2023-05-12,3073
2023-05-19,3512
2023-05-26,3373
2023-06-02,3549
2023-06-09,3316
2023-06-16,3700
2023-06-23,3471
2023-06-30,3417
2023-07-07,3465
2023-07-14,3244
2023-07-21,3461
2023-07-28,3367
2023-08-04,3147
2023-08-11,3101
2023-08-18,2986
2023-08-25,3348
2023-09-01,3164
2023-09-08,3681
2023-09-15,3582
2023-09-22,3201
2023-09-29,3157
2023-10-06,2961
2023-10-13,2823
2023-10-20,3431
2023-10-27,3202
2023-11-03,3325
2023-11-10,3744
2023-11-17,3445
2023-11-24,3502
2023-12-01,3047
2023-12-08,3868
2023-12-15,3784
2023-12-22,4267
2023-12-29,4927
2024-01-05,5789
2024-01-12,5181
2024-01-19,4782
2024-01-26,4767
2024-02-02,4919
2024-02-09,4992
2024-02-16,4818
2024-02-23,5089
2024-03-01,4789
2024-03-08,4285
2024-03-15,4549
2024-03-22,4784
2024-03-29,4227
2024-04-05,4151
2024-04-12,3950
2024-04-19,3943
2024-04-26,3463
2024-05-03,3447
2024-05-10,3307
2024-05-17,3506
2024-05-24,3924
2024-05-31,4258
2024-06-07,4285
2024-06-14,3883
2024-06-21,4127
2024-06-28,4177
2024-07-05,4064
2024-07-12,4589
2024-07-19,4110
2024-07-26,4210
2024-08-02,3926
2024-08-09,4146
2024-08-16,3932
2024-08-23,4435
